"ACO
ID",ACO Name,State,"ACO
Type1","Risk
Arrangement2",Gross Savings (Loss)3,"Net Savings
(Loss)4",Gross Savings Rate5,Net Savings Rate6,"Total Bene-
ficiaries7",Total Eligible Months8,High Performers Pool Payout9,Pre-discount Benchmark10,Final Benchmark11,Total Cost of Care12,Total Quality Score13,Quality-A14,Quality-B15,Quality-C16,Quality-D17,Quality-E18,Quality-F19,Quality-G20,Quality-H21,Quality-I22,Quality-J23,Quality-K24,Quality-L25,Quality-M26,Quality-N27,Quality-O28
D0056,"agilon health Northeast Ohio ACO, Inc.",TX,Standard,Global," $ 19,087,414.17 "," $ 14,896,622.95 ",14.7%,11.5%,"11,007","119,457",," $ 129,837,500.94 "," $ 125,950,722.43 "," $ 110,750,086.76 ",99.2%,15.39,32.78,,79.06,84.27,94.72,86.83,70.17,93.58,91.84,71.02,28.72,Yes,No,8.22
D0059,"St. Luke's Clinic Coordinated Care, Ltd",ID,Standard,Global," $ 15,243,199.28 "," $ 6,018,501.93 ",5.0%,2.0%,"25,580","296,896"," $ 2,783,680.91 "," $ 303,042,526.52 "," $ 293,940,655.75 "," $ 287,799,327.24 ",100.0%,13.41,26.70,,75.34,80.73,95.41,89.21,64.65,94.23,94.24,72.56,32.38,Yes,Yes,9.99
D0061,"CVS Accountable Care Organization, Inc.",NY,Standard,Global," $ 29,710,649.24 "," $ (8,967,823.12)",2.3%,-0.7%,"76,524","881,227",," $ 1,286,557,042.77 "," $ 1,247,878,570.41 "," $ 1,256,846,393.53 ",97.8%,15.27,34.91,,72.85,81.36,93.78,86.68,69.41,92.14,92.49,67.79,27.79,N/A,N/A,10.00
D0062,"PraxisCare, Inc.",OR,Standard,Global," $ 6,874,785.85 "," $ (221,595.15)",2.9%,-0.1%,"22,560","260,005"," $ 2,437,792.88 "," $ 235,909,679.07 "," $ 228,813,298.08 "," $ 229,034,893.23 ",100.0%,13.93,27.35,,74.10,82.49,94.20,85.82,62.33,93.10,93.16,63.61,29.35,Yes,Yes,10.00
D0063,Oak Street Health Medicare Partners LLC,IL,Standard,Global," $ 37,259,375.12 "," $ 31,657,742.50 ",22.6%,19.2%,"10,602","100,431",," $ 164,515,616.60 "," $ 159,560,060.35 "," $ 127,256,241.48 ",56.5%,15.51,27.94,,63.60,75.09,91.01,77.44,61.38,87.34,88.72,67.08,25.53,Yes,No,10.00
D0067,Northern Michigan Health Network dba NPO-CIN,MI,Standard,Global," $ 2,802,961.80 "," $ 262,391.96 ",3.3%,0.3%,"7,936","92,229",," $ 84,131,315.95 "," $ 81,596,101.04 "," $ 81,328,354.15 ",77.9%,15.35,31.66,,66.58,86.03,93.69,88.69,66.47,92.53,93.93,67.77,31.29,Yes,No,9.86
D0068,Physicians Healthcare Collaborative,NC,Standard,Global," $ 156,530,594.60 "," $ 116,202,984.76 ",12.4%,9.2%,"86,450","1,002,830"," $ 9,402,480.08 "," $ 1,264,046,467.87 "," $ 1,226,090,347.51 "," $ 1,107,515,873.27 ",100.0%,15.26,30.15,,79.30,78.99,92.08,85.64,65.64,91.52,91.20,63.70,26.58,Yes,Yes,9.63
D0071,Asaar Medical Inc.,FL,Standard,Global," $ 1,632,975.04 "," $ (959,572.23)",1.9%,-1.1%,"6,932","73,016",," $ 85,791,908.24 "," $ 83,199,360.97 "," $ 84,158,933.20 ",52.9%,15.28,33.22,,75.95,77.14,93.01,84.11,61.02,91.98,91.52,62.78,27.07,No,No,8.47
D0077,Regal Medical Group dba Heritage Innovation Center,CA,Standard,Professional," $ (1,738,382.15)"," $ (869,191.07)",-3.5%,-1.8%,"3,494","40,116",," $ 49,168,671.99 "," $ 49,168,671.99 "," $ 50,907,054.14 ",35.9%,15.50,33.61,,65.26,75.78,91.79,82.39,53.00,90.25,89.68,53.46,16.85,Yes,No,0.00
D0078◊,Central Valley Community Partners LLC,CA,Standard,Professional," $ (9,628,618.09)"," $ (3,627,976.56)",-12.1%,-4.6%,"4,492","51,182",," $ 79,406,685.42 "," $ 79,406,685.42 "," $ 89,035,303.50 ",72.8%,15.60,30.25,,68.64,82.10,93.49,84.95,62.33,91.35,92.04,59.00,16.67,Yes,No,10.00
D0081,"Midwest DCE, LLC",NY,New Entrant,Professional," $ (467,057.05)"," $ (233,528.53)",-1.9%,-1.0%,"1,663","17,854",," $ 24,092,988.59 "," $ 24,092,988.59 "," $ 24,560,045.65 ",22.7%,15.91,36.40,,75.35,85.37,95.46,86.42,64.55,92.37,92.29,60.15,21.99,No,No,0.80
D0084,Health Partners for the Elderly LLC,FL,Standard,Global," $ 11,097,604.03 "," $ 7,652,031.84 ",10.2%,7.0%,"7,128","81,551",," $ 109,333,782.43 "," $ 106,044,374.15 "," $ 98,236,178.40 ",79.5%,15.55,32.14,,78.98,81.59,92.57,85.86,62.27,90.72,89.46,64.61,24.51,Yes,No,9.96
D0086,"American Choice Healthcare, LLC",FL,Standard,Global," $ 78,089,366.18 "," $ 44,166,555.33 ",7.1%,4.0%,"68,091","779,946",," $ 1,093,458,076.48 "," $ 1,060,436,623.90 "," $ 1,015,368,710.30 ",68.0%,15.46,30.59,,72.06,87.55,94.93,84.21,63.38,92.64,91.37,61.79,24.73,Yes,No,0.33
D0088,Bloom Health Network LLC (d/b/a Bloom Healthcare),CO,High Needs,Global," $ 13,321,934.29 "," $ 11,462,536.80 ",24.6%,21.2%,"1,405","12,347"," $ 115,764.81 "," $ 54,128,428.25 "," $ 52,502,960.08 "," $ 40,806,493.96 ",100.0%,19.17,48.84,326.67,,76.55,89.99,79.03,68.46,87.85,84.90,65.63,27.36,Yes,Yes,10.00
D0095,"ATLAS IPA, LLC",NY,High Needs,Global," $ 11,634,818.94 "," $ 9,822,927.04 ",21.7%,18.4%,"1,153","10,523",," $ 53,496,310.80 "," $ 51,884,886.80 "," $ 41,861,491.86 ",82.2%,19.94,63.23,312.29,,64.48,84.00,73.15,69.24,79.66,73.70,62.40,22.57,Yes,No,10.00
D0097,"Advanced Illness Partners, LLC",VA,High Needs,Global," $ 37,523,102.50 "," $ 31,705,001.91 ",21.7%,18.3%,"4,179","39,882"," $ 372,234.80 "," $ 172,913,235.76 "," $ 167,742,176.03 "," $ 135,390,133.26 ",100.0%,19.55,61.66,312.71,,73.60,90.31,78.76,63.40,88.05,85.82,66.54,20.34,Yes,Yes,10.00
D0098,"ConcertoCare ACO REACH, LLC",MO,New Entrant,Global," $ 5,635,018.97 "," $ 4,168,505.32 ",12.3%,9.1%,"2,284","21,192",," $ 45,849,091.77 "," $ 44,467,649.67 "," $ 40,214,072.80 ",80.3%,14.66,31.23,,66.67,83.29,91.23,78.61,68.10,89.40,86.23,59.05,24.46,Yes,No,10.00
D0099,"VillageMD Primary Providers ACO III, LLC",NJ,Standard,Global," $ 16,292,609.05 "," $ 7,852,611.80 ",5.9%,2.8%,"19,924","232,147"," $ 2,176,597.77 "," $ 275,959,913.01 "," $ 267,680,173.14 "," $ 259,667,303.96 ",100.0%,15.29,26.07,,77.97,71.90,91.36,83.03,63.81,89.07,89.13,64.23,28.66,Yes,Yes,10.00
D0100,"VillageMD Primary Providers ACO IV, LLC",NJ,Standard,Global," $ 22,396,828.16 "," $ 16,360,739.62 ",11.8%,8.6%,"13,263","153,346",," $ 189,222,489.17 "," $ 183,520,293.27 "," $ 166,825,661.00 ",80.5%,15.63,28.95,,75.75,81.17,94.83,87.28,61.64,93.74,93.36,64.40,24.98,Yes,No,10.00
D0101◊,Auxilium Health Network,CA,Standard,Global," $ (6,594,622.31)"," $ (8,286,151.25)",-11.9%,-15.0%,"2,918","33,206",," $ 55,377,932.46 "," $ 53,686,403.51 "," $ 61,972,554.77 ",22.1%,15.59,32.47,,60.71,78.04,92.41,82.57,62.33,90.82,85.88,65.11,24.93,No,No,0.00
D0102,"VillageMD Primary Providers ACO, LLC",NJ,Standard,Global," $ 6,631,705.12 "," $ 2,009,433.57 ",4.4%,1.3%,"12,713","147,292"," $ 1,381,001.86 "," $ 152,346,998.48 "," $ 147,765,735.79 "," $ 145,715,293.36 ",100.0%,14.89,30.04,,71.16,76.03,92.70,83.87,65.72,91.44,88.19,65.92,28.72,Yes,Yes,10.00
D0105,"VillageMD Primary Providers ACO V, LLC",NJ,Standard,Global," $ 14,604,174.59 "," $ 11,823,035.96 ",17.2%,14.0%,"5,121","58,446"," $ 547,986.55 "," $ 84,686,987.27 "," $ 82,147,135.09 "," $ 70,082,812.68 ",100.0%,15.10,28.63,,70.68,81.66,93.69,85.19,65.26,93.16,89.32,71.67,29.97,Yes,Yes,10.00
D0106,"VillageMD New Hampshire ACO, LLC",NJ,Standard,Global," $ 25,577,742.85 "," $ 21,155,921.93 ",19.3%,16.0%,"9,190","104,097",," $ 132,507,808.21 "," $ 128,517,740.81 "," $ 106,930,065.36 ",99.7%,15.40,33.88,,80.66,81.13,96.42,88.32,65.24,94.74,92.95,69.68,29.92,Yes,No,10.00
D0107,"agilon health Coastal ACO, Inc.",TX,Standard,Global," $ 1,491,146.38 "," $ (495,282.34)",2.3%,-0.8%,"5,977","68,245"," $ 639,861.45 "," $ 65,724,478.83 "," $ 63,738,050.11 "," $ 64,233,332.45 ",92.7%,15.00,27.59,,70.81,85.55,93.48,83.22,60.44,91.78,91.33,64.97,13.99,Yes,Yes,1.99
D0109,"agilon health Northeastern ACO, Inc.",TX,Standard,Global," $ 24,726,510.84 "," $ 19,177,877.02 ",14.4%,11.1%,"13,047","149,479"," $ 1,401,507.05 "," $ 172,215,083.66 "," $ 167,057,835.09 "," $ 147,488,572.82 ",100.0%,15.37,27.08,,76.68,89.27,94.59,86.85,63.91,93.11,93.24,70.35,25.21,Yes,Yes,8.54
D0112,"Accountable Care Coalition of Southeast Texas, Inc.",FL,Standard,Global," $ 10,222,668.87 "," $ 5,039,731.44 ",6.1%,3.0%,"10,298","118,243",," $ 168,341,725.48 "," $ 163,261,639.71 "," $ 158,119,056.60 ",69.9%,16.16,31.71,,70.69,86.60,94.45,86.45,61.51,93.58,92.22,63.02,33.39,Yes,No,2.85
D0113,"agilon health Pennsylvania ACO, Inc.",TX,Standard,Global," $ 4,169,094.66 "," $ 2,050,349.49 ",6.0%,3.0%,"5,746","66,614",," $ 69,065,785.33 "," $ 66,988,884.02 "," $ 64,896,690.67 ",71.9%,15.39,37.44,,74.09,85.81,95.71,89.00,69.54,94.28,92.91,68.75,21.05,Yes,No,7.96
D0114,"agilon health Columbus Ohio ACO, Inc.",TX,Standard,Global," $ 43,768,118.70 "," $ 32,503,968.52 ",12.4%,9.2%,"30,338","338,685"," $ 3,175,492.32 "," $ 352,874,267.56 "," $ 342,273,463.68 "," $ 309,106,148.86 ",100.0%,14.84,28.98,,76.84,85.05,94.66,88.05,68.06,94.24,93.44,64.19,26.63,Yes,Yes,8.79
D0115,"Accountable Care Coalition of Direct Contracting, LLC",FL,Standard,Global," $ 18,522,341.11 "," $ 18,644.58 ",3.0%,0.0%,"48,896","559,933",," $ 617,450,928.10 "," $ 598,947,612.07 "," $ 598,928,586.99 ",98.8%,15.17,30.96,,71.44,85.94,94.61,86.56,61.93,92.29,93.65,66.40,30.11,Yes,No,6.42
D0116,"agilon health Ohio ACO, Inc.",TX,Standard,Global," $ 21,644,646.62 "," $ 17,458,157.08 ",16.8%,13.6%,"9,579","104,402"," $ 978,867.53 "," $ 128,478,710.27 "," $ 124,648,509.65 "," $ 106,834,063.65 ",100.0%,15.17,32.55,,79.88,87.27,95.45,88.52,63.53,93.36,93.97,63.64,28.41,Yes,Yes,7.10
D0120◊,"Cityblock Health DCE, LLC",NY,Standard,Professional," $ 2,902,793.00 ",,7.5%,0.0%,"3,036","32,558",," $ 38,515,115.23 "," $ 38,515,115.23 "," $ 35,612,322.23 ",41.3%,15.19,40.15,,55.40,77.92,91.36,82.89,56.72,93.33,84.12,62.15,24.87,Yes,No,0.00
D0124,"AdventHealth ACO Plus, LLC",FL,Standard,Global," $ 5,942,935.76 "," $ 3,894,295.01 ",9.1%,5.9%,"5,240","57,528"," $ 539,379.43 "," $ 65,585,144.45 "," $ 63,615,979.11 "," $ 59,642,208.69 ",100.0%,14.37,29.73,,79.81,85.30,94.83,86.30,66.31,93.64,93.88,72.66,31.74,Yes,Yes,9.93
D0127,"Q Point Health, LLC (DBA Equality Health Direct)",AZ,Standard,Professional," $ (4,860,471.31)"," $ (2,430,235.66)",-3.6%,-1.8%,"12,479","144,517",," $ 133,879,777.79 "," $ 133,879,777.79 "," $ 138,740,249.10 ",90.8%,15.19,28.53,,68.01,74.14,92.34,81.74,60.35,91.01,90.88,59.88,18.77,Yes,No,5.60
D0129,Assurity DCE LLC,FL,High Needs,Global," $ 2,543,020.84 "," $ 1,536,510.64 ",7.8%,4.7%,913,"8,899"," $ 83,436.54 "," $ 32,588,746.53 "," $ 31,613,593.69 "," $ 30,045,725.69 ",100.0%,20.24,63.75,319.40,,82.76,91.63,83.12,65.03,90.73,88.56,75.21,28.23,Yes,Yes,10.00
D0130,"CareMax Health Partners, LLC",FL,Standard,Professional," $ 766,046.22 "," $ 375,362.65 ",0.7%,0.3%,"8,448","97,288",," $ 111,070,940.98 "," $ 111,070,940.98 "," $ 110,304,894.76 ",92.8%,15.37,34.58,,75.25,81.75,91.51,80.92,60.23,89.86,89.24,56.40,23.80,Yes,No,10.00
D0131,CareConnectMD DCE LLC,CA,High Needs,Global," $ 13,523,351.38 "," $ 11,399,285.67 ",29.5%,24.9%,814,"7,366"," $ 69,063.22 "," $ 45,860,212.09 "," $ 44,480,567.21 "," $ 32,336,860.71 ",85.0%,18.99,59.12,311.09,,,,,,,,,,Yes,Yes,10.00
D0132,Clover Health Partners LLC,NJ,Standard,Global," $ 18,163,148.31 "," $ (5,207,521.03)",2.3%,-0.7%,"54,808","625,701",," $ 777,566,663.38 "," $ 754,195,994.04 "," $ 759,403,515.07 ",67.1%,15.60,34.93,,69.99,83.56,93.85,86.03,59.82,92.88,92.63,65.28,25.49,Yes,No,5.19
D0133,"Renown Direct Contracting Entity, LLC",NV,Standard,Global," $ (3,822,437.06)"," $ (8,161,646.32)",-2.7%,-5.7%,"12,794","143,705",," $ 143,416,946.17 "," $ 139,077,736.90 "," $ 147,239,383.23 ",74.3%,15.48,33.06,,68.83,82.16,94.56,86.75,68.33,92.45,93.64,65.61,24.93,Yes,No,9.96
D0136,"Castell Accountable Care, LLC",UT,Standard,Global," $ 86,751,120.02 "," $ 63,579,006.50 ",11.9%,8.7%,"54,911","630,934"," $ 5,915,603.21 "," $ 727,240,955.51 "," $ 705,366,372.72 "," $ 640,489,835.49 ",100.0%,13.23,24.72,,72.32,84.68,93.75,87.91,65.54,92.91,94.42,67.48,30.69,Yes,Yes,9.78
D0140,"Esse Health ACO, LLC",MO,Standard,Global," $ 41,065,604.16 "," $ 26,016,654.61 ",8.5%,5.4%,"38,862","445,946",," $ 481,488,440.30 "," $ 466,970,442.88 "," $ 440,422,836.15 ",74.1%,15.40,36.48,,74.14,85.43,94.58,87.53,64.69,92.94,94.85,61.77,27.02,Yes,No,9.20
D0142,360 Health DCE Inc,CA,Standard,Global," $ (1,386,441.69)"," $ (5,065,277.28)",-1.1%,-4.2%,"7,501","85,584",," $ 121,885,987.07 "," $ 118,207,151.48 "," $ 123,272,428.76 ",70.7%,15.58,30.00,,70.14,78.36,90.91,82.46,58.92,91.83,89.41,61.00,27.49,Yes,No,6.64
D0143,"CenterWell Care Solutions, Inc.",KY,New Entrant,Global," $ 9,366,316.64 "," $ 7,426,985.06 ",15.7%,12.4%,"4,434","47,285",," $ 59,721,808.90 "," $ 57,934,048.44 "," $ 50,355,492.26 ",98.4%,15.31,27.60,,72.19,85.83,93.78,84.58,69.89,93.05,93.03,64.11,16.03,Yes,No,10.00
D0147,Fairview Health Services,MN,Standard,Professional," $ 9,419,351.39 "," $ 4,615,482.18 ",2.7%,1.3%,"27,906","323,025",," $ 355,178,808.40 "," $ 355,178,808.40 "," $ 345,759,457.01 ",96.6%,14.58,32.61,,68.16,76.08,93.70,85.93,63.01,91.48,91.33,68.67,21.86,Yes,No,9.91
D0148,"United Physicians Association, Inc",CA,Standard,Global," $ 3,406,832.11 "," $ 1,532,079.46 ",5.6%,2.5%,"3,733","42,186",," $ 60,922,450.19 "," $ 59,078,964.47 "," $ 57,515,618.08 ",72.8%,15.46,23.78,,67.98,77.88,89.03,81.17,65.35,89.41,90.47,52.34,24.06,Yes,No,10.00
D0151,"NeueHealth Advantage ACO, LLC",MN,Standard,Global," $ (26,924,422.22)"," $ (44,539,541.18)",-4.7%,-7.7%,"40,638","465,097",," $ 578,165,167.11 "," $ 560,550,048.15 "," $ 605,089,589.33 ",36.9%,15.40,32.81,,66.20,75.95,91.98,82.28,58.02,89.60,89.45,57.71,24.83,No,No,7.74
D0152,PeaceHealth Direct Contracting LLC,WA,Standard,Professional," $ 8,122,471.08 "," $ 3,980,010.83 ",2.7%,1.3%,"24,311","279,301"," $ 2,618,711.14 "," $ 303,887,321.56 "," $ 303,887,321.56 "," $ 295,764,850.48 ",97.3%,14.21,30.30,,68.69,71.63,93.24,86.80,63.20,90.75,92.30,58.62,22.10,Yes,Yes,9.49
D0154◊,The Provider-led REACH ACO LLC,CA,New Entrant,Global," $ (1,226,843.80)"," $ (7,083,699.10)",-0.6%,-3.6%,"12,835","148,108",," $ 194,189,390.70 "," $ 188,332,535.40 "," $ 195,416,234.50 ",81.9%,15.29,33.97,,72.88,79.30,93.78,82.06,62.62,90.97,87.14,54.69,22.10,Yes,No,0.00
D0155,"America's MDE, LLC",FL,Standard,Global," $ 5,151,390.86 "," $ 3,602,041.22 ",10.6%,7.4%,"3,329","37,767",," $ 48,654,935.59 "," $ 47,179,097.00 "," $ 43,503,544.73 ",38.9%,15.73,34.55,,71.43,85.59,94.93,85.91,64.94,92.58,93.86,61.02,23.73,No,No,7.20
D0156,"agilon health Mid-Atlantic ACO, Inc.",TX,Standard,Global," $ 19,390,283.29 "," $ 15,127,718.96 ",14.8%,11.5%,"10,254","115,787",," $ 131,226,318.82 "," $ 127,272,483.45 "," $ 111,836,035.53 ",77.4%,15.61,31.36,,79.89,83.37,93.60,87.61,63.71,93.23,93.84,60.24,23.43,Yes,No,7.36
D0160,"Nivano Physicians, Inc. IPA",CA,New Entrant,Global," $ 3,104,401.28 "," $ 2,370,765.45 ",13.7%,10.4%,"1,203","13,693",," $ 22,717,945.64 "," $ 22,032,692.78 "," $ 19,613,544.36 ",80.9%,14.95,30.84,,64.60,78.79,90.86,82.94,61.88,91.99,88.24,62.00,35.65,Yes,No,10.00
D0162,Nevada Care Connect,NV,High Needs,Global," $ 10,561,833.24 "," $ 9,059,410.71 ",24.3%,20.8%,824,"7,205",," $ 43,465,271.77 "," $ 42,147,735.17 "," $ 32,903,438.53 ",43.6%,19.67,79.88,312.89,,74.95,94.03,80.74,72.67,89.57,80.58,65.97,25.51,No,No,9.39
D0171,"Physician Leaders Direct Contracting Entity, LLC",NY,Standard,Global," $ 19,646,130.07 "," $ 4,815,636.53 ",4.0%,1.0%,"29,863","328,458",," $ 489,530,973.05 "," $ 474,798,757.80 "," $ 469,884,842.97 ",89.9%,15.16,33.63,,75.56,90.40,94.81,86.23,68.04,92.89,92.78,66.30,22.76,Yes,No,0.09
D0172,"Subsero Healthcare, LLC d/b/a MAX Healthcare #1",FL,Standard,Global," $ 19,971,403.48 "," $ 16,052,309.50 ",16.8%,13.5%,"8,148","87,010",," $ 119,196,173.87 "," $ 115,604,678.04 "," $ 99,224,770.39 ",81.3%,15.78,27.93,,84.21,80.54,93.30,83.30,64.03,92.02,89.95,68.38,27.56,Yes,No,8.21
D0178,"Alignment Health ACO, LLC",CA,Standard,Global," $ (10,915.53)"," $ (3,792,322.28)",0.0%,-3.0%,"7,835","90,546",," $ 124,531,789.02 "," $ 120,750,382.27 "," $ 124,542,704.55 ",54.8%,15.90,28.72,,66.30,78.78,93.16,82.46,62.59,92.17,88.20,57.40,30.10,Yes,No,10.00
